"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","4.03","4.26","4.98","3.91","1.56M","-3.12%"
"Oct 20","4.16","3.88","5.42","3.88","1.29M","7.22%"
"Sep 20","3.88","4.11","4.48","3.54","840.74K","-5.60%"
"Aug 20","4.11","4.33","5.27","3.98","1.08M","-5.08%"
"Jul 20","4.33","4.76","4.97","4.11","743.83K","-9.03%"
"Jun 20","4.76","4.83","5.55","4.26","971.67K","-2.26%"
"May 20","4.87","3.63","5.00","3.24","1.38M","34.16%"
"Apr 20","3.63","3.48","4.03","2.71","988.76K","4.31%"
"Mar 20","3.48","3.85","4.16","2.46","3.32M","-9.61%"
"Feb 20","3.85","4.54","5.32","3.43","26.44M","-14.25%"
"Jan 20","4.49","4.98","5.68","4.34","31.32M","-6.85%"
"Dec 19","4.82","3.80","5.79","3.38","118.09M","28.19%"
"Nov 19","3.76","3.12","3.80","2.51","37.74M","22.08%"
"Oct 19","3.08","2.92","3.48","2.63","27.63M","6.21%"
"Sep 19","2.90","2.50","4.08","2.45","42.91M","13.73%"
"Aug 19","2.55","3.62","3.72","2.27","44.91M","-30.33%"
"Jul 19","3.66","7.26","7.47","3.18","57.03M","-48.95%"
"Jun 19","7.17","7.54","8.37","6.23","24.42M","-4.91%"
"May 19","7.54","12.90","14.30","7.38","31.14M","-41.41%"
"Apr 19","12.87","14.30","14.65","12.04","14.68M","-9.17%"
"Mar 19","14.17","13.55","14.79","11.63","21.26M","4.73%"
"Feb 19","13.53","12.27","14.19","12.00","13.00M","10.18%"
"Jan 19","12.28","13.33","15.28","11.66","27.21M","-9.24%"
