"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","28.97","23.89","29.10","23.30","57.25M","22.24%"
"Oct 20","23.70","24.09","25.83","23.12","66.50M","-1.62%"
"Sep 20","24.09","25.74","26.75","22.97","55.83M","-6.41%"
"Aug 20","25.74","24.88","27.75","24.73","49.09M","3.46%"
"Jul 20","24.88","23.75","25.29","22.40","62.04M","4.76%"
"Jun 20","23.75","24.22","28.96","23.02","60.94M","-1.53%"
"May 20","24.12","24.05","26.12","20.11","113.92M","0.29%"
"Apr 20","24.05","21.23","25.32","19.51","55.24M","13.28%"
"Mar 20","21.23","28.50","29.69","17.98","95.21M","-25.51%"
"Feb 20","28.50","33.00","35.45","27.70","1.07B","-13.19%"
"Jan 20","32.83","35.35","35.67","32.47","995.97M","-6.79%"
"Dec 19","35.22","33.45","35.72","32.55","942.30M","5.70%"
"Nov 19","33.32","31.70","33.60","31.37","847.67M","6.56%"
"Oct 19","31.27","29.44","32.23","27.16","1.21B","7.20%"
"Sep 19","29.17","27.21","30.32","26.61","1.21B","6.03%"
"Aug 19","27.51","30.55","31.07","26.21","1.36B","-10.33%"
"Jul 19","30.68","29.48","31.06","28.86","964.16M","5.79%"
