"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","286.64","261.29","296.01","256.42","2.30M","10.47%"
"Oct 20","259.47","251.52","293.26","250.87","2.71M","3.16%"
"Sep 20","251.52","219.84","259.79","217.50","2.48M","14.41%"
"Aug 20","219.84","168.40","224.20","168.40","1.81M","30.55%"
"Jul 20","168.40","140.22","174.50","140.22","2.49M","20.10%"
"Jun 20","140.22","129.35","149.99","127.36","5.28M","7.40%"
"May 20","130.56","126.77","133.87","103.41","3.41M","2.99%"
"Apr 20","126.77","121.26","131.80","107.69","1.97M","1.98%"
"Mar 20","124.31","141.17","142.23","88.83","2.28M","-11.94%"
"Feb 20","141.17","145.50","165.25","134.06","52.60M","-2.40%"
"Jan 20","144.64","152.42","164.50","143.36","54.81M","-4.34%"
"Dec 19","151.21","160.46","168.37","146.24","83.86M","-5.52%"
"Nov 19","160.05","154.16","167.59","151.55","39.17M","4.84%"
"Oct 19","152.66","145.59","160.39","137.78","57.72M","4.87%"
"Sep 19","145.57","155.79","176.25","142.49","74.88M","-8.22%"
"Aug 19","158.61","170.16","171.47","147.82","39.88M","-6.99%"
"Jul 19","170.53","168.02","178.50","158.69","44.57M","3.86%"
"Jun 19","164.19","151.16","169.54","150.68","54.98M","6.42%"
"May 19","154.28","189.73","190.58","153.79","42.53M","-18.57%"
"Apr 19","189.46","182.27","199.32","182.22","36.38M","4.44%"
"Mar 19","181.41","182.02","185.31","167.61","50.45M","0.23%"
"Feb 19","181.00","178.30","187.04","173.77","33.90M","1.93%"
"Jan 19","177.57","158.52","179.19","156.96","46.27M","10.07%"
