"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","1,779.01","1,628.00","1,816.89","1,614.03","979.96K","10.08%"
"Oct 20","1,616.11","1,483.66","1,681.31","1,433.23","42.75M","10.27%"
"Sep 20","1,465.60","1,632.16","1,726.10","1,402.15","41.83M","-10.06%"
"Aug 20","1,629.53","1,491.00","1,652.79","1,464.03","30.73M","9.52%"
"Jul 20","1,487.95","1,419.17","1,587.05","1,414.18","41.16M","4.93%"
"Jun 20","1,418.05","1,425.70","1,475.79","1,351.65","40.72M","-1.08%"
"May 20","1,433.52","1,324.09","1,445.11","1,296.01","36.26M","6.45%"
"Apr 20","1,346.70","1,124.00","1,360.15","1,075.08","56.21M","15.90%"
"Mar 20","1,161.95","1,351.39","1,408.19","1,008.87","78.55M","-13.24%"
"Feb 20","1,339.25","1,461.65","1,530.74","1,268.21","41.57M","-6.53%"
"Jan 20","1,432.78","1,348.41","1,500.58","1,346.49","33.70M","6.97%"
"Dec 19","1,339.39","1,302.56","1,367.07","1,277.05","28.28M","2.71%"
"Nov 19","1,304.09","1,265.80","1,333.92","1,259.71","26.36M","3.60%"
"Oct 19","1,258.80","1,222.49","1,299.24","1,163.14","31.13M","3.08%"
"Sep 19","1,221.14","1,181.85","1,248.02","1,163.71","26.27M","2.57%"
"Aug 19","1,190.53","1,217.63","1,236.30","1,142.75","29.35M","-2.27%"
"Jul 19","1,218.20","1,101.04","1,268.39","1,095.33","35.76M","12.50%"
"Jun 19","1,082.80","1,066.93","1,126.57","1,027.03","35.62M","-2.14%"
"May 19","1,106.50","1,197.50","1,199.25","1,103.35","37.14M","-7.71%"
"Apr 19","1,198.96","1,187.54","1,296.97","1,183.00","32.37M","1.88%"
"Mar 19","1,176.89","1,131.00","1,236.44","1,130.20","33.19M","4.47%"
"Feb 19","1,126.55","1,122.29","1,154.00","1,093.59","32.61M","0.06%"
"Jan 19","1,125.89","1,027.20","1,127.67","1,022.37","34.86M","7.74%"
