"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","218.16","215.00","226.95","208.30","1.89M","2.42%"
"Oct 20","213.00","219.49","231.91","209.90","3.45M","-2.96%"
"Sep 20","219.49","213.52","226.72","210.67","3.03M","2.80%"
"Aug 20","213.52","194.28","216.70","193.61","2.88M","9.90%"
"Jul 20","194.28","184.47","202.50","182.63","3.20M","5.32%"
"Jun 20","184.47","186.51","202.73","178.88","3.10M","-0.99%"
"May 20","186.32","187.56","190.64","167.88","5.72M","0.23%"
"Apr 20","185.89","165.35","190.41","155.00","4.05M","12.42%"
"Mar 20","165.35","194.17","207.10","124.29","4.52M","-14.84%"
"Feb 20","194.17","214.99","218.38","188.81","69.43M","-9.25%"
"Jan 20","213.97","198.00","217.10","197.81","77.49M","8.28%"
"Dec 19","197.61","195.38","199.00","192.35","61.41M","1.61%"
"Nov 19","194.48","197.78","197.97","187.55","92.66M","-1.13%"
"Oct 19","196.70","211.13","213.47","191.50","100.77M","-8.39%"
"Sep 19","214.71","217.93","220.84","207.33","64.85M","-1.50%"
"Aug 19","217.97","211.18","221.93","209.43","63.99M","3.44%"
"Jul 19","210.72","208.86","218.96","206.19","58.78M","1.47%"
"Jun 19","207.66","198.36","207.99","197.32","63.77M","4.74%"
"May 19","198.27","195.87","201.15","193.32","58.59M","0.35%"
"Apr 19","197.57","190.50","200.00","186.70","53.51M","4.04%"
"Mar 19","189.90","184.59","190.52","178.27","63.64M","3.30%"
"Feb 19","183.84","179.55","184.71","173.41","76.83M","2.83%"
"Jan 19","178.78","175.41","189.42","174.17","80.01M","0.68%"
