"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","127.06","122.88","139.28","122.23","745.31K","5.02%"
"Oct 20","120.99","123.94","134.04","119.76","15.16M","-1.40%"
"Sep 20","122.71","134.64","137.94","118.01","18.59M","-8.71%"
"Aug 20","134.42","131.84","135.11","128.71","14.02M","2.37%"
"Jul 20","131.31","119.60","135.51","118.84","15.07M","9.91%"
"Jun 20","119.47","119.30","122.15","112.23","16.41M","0.85%"
"May 20","118.46","107.00","119.27","104.38","16.41M","8.01%"
"Apr 20","109.67","90.12","114.42","90.00","19.64M","15.50%"
"Mar 20","94.95","103.00","116.55","71.66","36.73M","-7.41%"
"Feb 20","102.55","117.28","120.23","100.47","19.19M","-11.94%"
"Jan 20","116.46","107.26","116.80","105.24","16.01M","8.74%"
"Dec 19","107.10","104.67","108.28","103.21","11.50M","2.19%"
"Nov 19","104.80","100.46","106.23","97.90","17.29M","5.04%"
"Oct 19","99.77","99.31","102.00","95.30","16.35M","0.42%"
"Sep 19","99.35","99.84","105.26","96.73","13.28M","-0.49%"
"Aug 19","99.84","96.20","100.45","93.46","13.40M","3.60%"
"Jul 19","96.37","97.04","104.69","95.85","19.04M","0.21%"
"Jun 19","96.17","90.60","98.73","90.17","12.85M","6.10%"
"May 19","90.64","92.19","93.32","89.18","11.68M","-1.69%"
"Apr 19","92.20","88.23","92.32","86.52","13.82M","5.38%"
"Mar 19","87.49","92.21","92.51","82.22","19.39M","-4.46%"
"Feb 19","91.57","88.04","91.59","85.77","14.91M","4.01%"
"Jan 19","88.04","80.60","88.16","78.66","19.12M","7.93%"
