"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","11,765.96","10,483.71","11,854.00","10,483.71","-","12.23%"
"Oct 20","10,483.71","10,886.28","11,347.32","10,345.37","-","-3.70%"
"Sep 20","10,886.28","11,113.33","11,368.35","10,482.01","-","-2.25%"
"Aug 20","11,137.12","10,569.73","11,227.16","10,520.83","-","5.78%"
"Jul 20","10,528.38","10,171.72","10,696.87","10,001.41","-","3.91%"
"Jun 20","10,132.43","10,231.23","10,940.05","9,825.21","-","-1.30%"
"May 20","10,266.08","9,751.00","10,381.42","9,302.13","-","3.59%"
"Apr 20","9,910.03","8,587.18","10,126.87","8,495.25","-","11.82%"
"Mar 20","8,862.21","8,388.80","9,184.28","7,485.55","-","-14.72%"
"Feb 20","10,392.22","11,532.23","11,941.90","10,069.97","-","-9.54%"
"Jan 20","11,488.41","11,687.58","11,945.80","11,449.65","-","-1.70%"
"Dec 19","11,687.58","11,438.93","11,744.29","11,203.19","-","2.29%"
"Nov 19","11,425.50","11,132.98","11,471.91","11,132.98","-","3.23%"
"Oct 19","11,068.44","10,886.57","11,125.02","10,428.32","-","1.67%"
"Sep 19","10,886.57","10,669.54","11,023.11","10,551.87","-","1.94%"
"Aug 19","10,679.75","10,883.46","10,969.11","10,295.70","-","-1.90%"
"Jul 19","10,886.54","10,793.23","11,056.47","10,793.23","-","0.86%"
"Jun 19","10,793.23","10,155.06","10,868.16","10,139.69","-","6.39%"
"May 19","10,145.05","10,772.53","10,776.37","10,139.05","-","-5.85%"
"Apr 19","10,775.80","10,553.36","10,783.03","10,551.85","-","2.68%"
"Mar 19","10,494.09","10,508.36","10,626.27","10,218.24","-","0.33%"
"Feb 19","10,459.44","10,193.24","10,567.54","10,069.93","-","2.88%"
"Jan 19","10,166.53","9,418.49","10,188.90","9,327.95","-","6.63%"
