"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","37.23","35.94","41.84","35.55","26.96M","4.93%"
"Oct 20","35.48","36.70","38.84","34.61","24.33M","-3.32%"
"Sep 20","36.70","37.79","37.80","35.38","21.31M","-2.88%"
"Aug 20","37.79","38.48","39.09","37.41","28.36M","-1.79%"
"Jul 20","38.48","32.70","39.45","32.70","27.04M","17.68%"
"Jun 20","32.70","35.49","36.64","31.61","24.02M","-14.38%"
"May 20","38.19","38.36","39.00","36.59","46.15M","-0.44%"
"Apr 20","38.36","32.64","39.22","31.53","27.94M","17.52%"
"Mar 20","32.64","33.42","36.46","27.96","27.96M","-2.33%"
"Feb 20","33.42","37.46","38.57","32.53","556.85M","-10.26%"
"Jan 20","37.24","39.30","40.97","36.69","504.64M","-4.95%"
"Dec 19","39.18","38.79","39.62","37.79","368.89M","1.71%"
"Nov 19","38.52","38.69","38.94","36.30","423.56M","0.39%"
"Oct 19","38.37","35.93","38.82","34.60","387.15M","6.79%"
"Sep 19","35.93","35.61","37.76","35.51","421.99M","1.07%"
"Aug 19","35.55","38.31","38.62","33.97","608.44M","-8.47%"
"Jul 19","38.84","43.51","44.56","38.51","560.64M","-10.34%"
"Jun 19","43.32","41.63","44.29","41.57","437.56M","4.34%"
"May 19","41.52","40.59","42.48","39.87","524.54M","2.24%"
"Apr 19","40.61","42.58","43.28","38.42","461.32M","-4.38%"
"Mar 19","42.47","43.61","43.79","40.34","525.81M","-2.03%"
"Feb 19","43.35","42.87","43.78","41.21","427.81M","2.12%"
"Jan 19","42.45","43.12","43.70","39.47","599.58M","-2.75%"
