"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","29,831.5","26,461.5","30,164.5","26,173.0","138.71K","13.02%"
"Oct 20","26,394.0","27,774.0","28,845.5","25,953.0","299.85K","-4.59%"
"Sep 20","27,664.0","28,421.0","29,178.5","26,412.0","297.64K","-2.65%"
"Aug 20","28,416.0","26,297.5","28,783.5","26,199.5","187.25K","7.97%"
"Jul 20","26,319.0","25,605.0","27,061.0","25,294.0","235.90K","3.22%"
"Jun 20","25,497.0","25,243.5","27,621.5","24,413.0","225.69K","0.16%"
"May 20","25,457.0","24,035.5","25,794.0","22,706.0","230.29K","5.06%"
"Apr 20","24,230.0","21,702.0","24,792.0","20,500.0","4.14M","11.40%"
"Mar 20","21,751.0","25,196.0","27,075.0","18,086.0","6.82M","-14.24%"
"Feb 20","25,364.0","28,159.0","29,543.0","24,675.0","6.32M","-10.04%"
"Jan 20","28,196.0","28,553.0","29,362.0","28,084.0","5.01M","-1.09%"
"Dec 19","28,508.0","28,082.0","28,721.0","27,312.0","2.64M","1.55%"
"Nov 19","28,073.0","26,992.0","28,173.0","26,959.0","2.71M","4.04%"
"Oct 19","26,982.0","26,961.0","27,230.0","25,703.0","3.92M","0.30%"
"Sep 19","26,901.0","26,243.0","27,326.0","25,977.0","2.99M","1.87%"
"Aug 19","26,406.0","26,750.0","27,147.0","25,032.0","5.75M","-1.67%"
"Jul 19","26,855.0","26,816.0","27,397.0","26,609.0","3.56M","0.99%"
"Jun 19","26,593.0","24,743.0","26,827.0","24,610.0","3.12M","7.14%"
"May 19","24,820.0","26,646.0","26,691.0","24,789.0","5.88M","-6.64%"
"Apr 19","26,584.0","25,976.0","26,694.0","25,976.0","3.35M","2.51%"
"Mar 19","25,933.0","25,923.0","26,171.0","25,213.0","3.74M","0.08%"
"Feb 19","25,913.0","25,015.0","26,238.0","24,862.0","3.65M","3.75%"
"Jan 19","24,976.0","23,320.0","25,068.0","22,563.0","4.89M","7.34%"
