"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","60.48","57.60","61.45","56.61","10.60M","6.12%"
"Oct 20","56.99","59.49","59.96","56.03","17.64M","-4.20%"
"Sep 20","59.49","59.27","61.49","58.65","16.33M","0.37%"
"Aug 20","59.27","57.48","59.79","57.12","14.50M","3.11%"
"Jul 20","57.48","55.13","57.69","53.75","16.20M","4.26%"
"Jun 20","55.13","56.86","58.22","52.85","17.33M","-3.92%"
"May 20","57.38","57.45","57.79","53.68","34.26M","-0.12%"
"Apr 20","57.45","53.73","58.91","52.16","17.53M","6.92%"
"Mar 20","53.73","54.16","58.24","48.85","21.25M","-0.79%"
"Feb 20","54.16","59.61","60.35","52.18","324.79M","-8.88%"
"Jan 20","59.44","61.38","61.45","58.34","279.76M","-3.19%"
"Dec 19","61.40","60.20","62.22","59.58","240.29M","1.93%"
"Nov 19","60.24","61.29","61.34","58.80","209.00M","-0.38%"
"Oct 19","60.47","60.40","61.32","57.91","263.37M","0.18%"
"Sep 19","60.36","57.90","61.00","57.59","212.46M","3.78%"
"Aug 19","58.16","57.11","58.41","54.41","277.99M","5.23%"
"Jul 19","55.27","57.42","58.51","54.56","267.35M","-3.26%"
"Jun 19","57.13","54.68","58.66","54.56","261.16M","5.12%"
"May 19","54.35","57.23","60.54","54.26","309.14M","-4.97%"
"Apr 19","57.19","59.39","59.41","55.75","272.99M","-3.28%"
"Mar 19","59.13","57.02","61.19","55.45","306.52M","3.88%"
"Feb 19","56.92","55.21","57.61","53.02","242.02M","3.38%"
"Jan 19","55.06","56.16","58.69","52.28","382.35M","-2.06%"
