Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Sun Jul 21 18:03:48 EDT 2019,Dog,Widget,Widget,5,Minidachshund
Sun Jul 21 18:03:50 EDT 2019,Dog,Stella Bo Bella,Stella,6.5,Muttmix
Sun Jul 21 18:03:57 EDT 2019,Cat,Meryl Streep,Merrill,8,Unknown
Sun Jul 21 18:04:06 EDT 2019,Dog,Tilly,Tills,13,ChocolateLabrador
Sun Jul 21 18:04:14 EDT 2019,Cat,Pumpkin,Pumpkin,12,Unknown
Sun Jul 21 18:04:26 EDT 2019,Dog,Peter Peter Pumpkin Eater,Petey,5,Pitbull
Sun Jul 21 18:04:28 EDT 2019,Cat,Jacques,Jacques,12,Unknown
Sun Jul 21 18:04:29 EDT 2019,Dog,Remy,Rem,1,Unknown
Sun Jul 21 18:04:34 EDT 2019,Dog,Oreo,Oreo,7,Mixed Breeds
Sun Jul 21 18:04:41 EDT 2019,Dog,Ljus  (Swedish word for light),Ljus ,0.269230769,GoldenRetriever
Sun Jul 21 18:04:51 EDT 2019,Dog,Bambi,Bambs,3,Unknown
Sun Jul 21 18:04:54 EDT 2019,Cat,Marie Curie,Marie,3,Unknown
Sun Jul 21 18:05:01 EDT 2019,Cat,Clarence,Clarence,12,Russian Blue
Sun Jul 21 18:05:05 EDT 2019,Dog,Layla ‘The Tank’,Layla,3,Pitbull
Sun Jul 21 18:05:13 EDT 2019,Cat,Amber,Ambs,10,Tortoiseshell
Sun Jul 21 18:05:13 EDT 2019,Dog,Benny and the Jets,Ben,1,Mastiff/GreatDane
Sun Jul 21 18:05:16 EDT 2019,Dog,Milo,Milo,7,BichonFrise
Sun Jul 21 18:05:20 EDT 2019,Dog,Mocha,Mocha,3,Pitbull
Sun Jul 21 18:05:22 EDT 2019,Dog,Shadow,Shadow,15.5,GoldenRetriever
Sun Jul 21 18:05:22 EDT 2019,Cat,Little Bit,Skittles,10,Tabby
Sun Jul 21 18:05:24 EDT 2019,Dog,Luna,Luna,1,GreatPyrenees
Sun Jul 21 18:05:29 EDT 2019,Cat,Garrison,Garrison ,9,Russian Blue
Sun Jul 21 18:05:32 EDT 2019,Dog,Cody,"Baby, Pookie",13,BlackLabMix
Sun Jul 21 18:05:39 EDT 2019,Hamster,Hammy,Ham,1,Russian Dwarf Hamster
Sun Jul 21 18:05:49 EDT 2019,Cat,Zoey,Zoey,13,Cat
Sun Jul 21 18:05:49 EDT 2019,Dog,Oatmeal,Oatmeal,0.583333333,GoldenRetriever
Sun Jul 21 18:05:50 EDT 2019,Dog,Ginger,Nugget,10,Chihuahua
Sun Jul 21 18:05:52 EDT 2019,Cat,Lucy,Lucy,4,Russian Blue
Sun Jul 21 18:05:52 EDT 2019,Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Sun Jul 21 18:05:55 EDT 2019,Dog,Mocha Antoinette,Mocha,7,Muttmix
Sun Jul 21 18:06:04 EDT 2019,Dog,Oscar ,Oscar,10,Shepherdmix
Sun Jul 21 18:06:06 EDT 2019,Cat,Serena,Mouse Pie,17,DomesticLonghair
Sun Jul 21 18:06:08 EDT 2019,Cat,Maxine Waters,Maxine,4,Unknown
Sun Jul 21 18:06:21 EDT 2019,Dog,Magnolia Mae,Noli,2.5,GreatPyreneesmix
Sun Jul 21 18:06:27 EDT 2019,Dog,George Cooper,Georgie,2,GoldenRetriever
Sun Jul 21 18:06:28 EDT 2019,Dog,Cayenne,Cayenne,8,GermanShepherd
Sun Jul 21 18:06:37 EDT 2019,Cat,Pip,Pip,11,Tuxedo cat
Sun Jul 21 18:06:39 EDT 2019,Dog,Olive Oil,Olive,2,AustralianShepherd
Sun Jul 21 18:06:41 EDT 2019,Rabbit,Iggy and Ziggy ,Igs and Zigs,3,Lopandangora
Sun Jul 21 18:06:45 EDT 2019,Dog,Brook,Brookie,7,GoldenRetriever
Sun Jul 21 18:06:46 EDT 2019,Dog,Sparkie,"Spark, Sparkie, sparkle",4,Muttmix
Sun Jul 21 18:06:48 EDT 2019,Dog,Max,Maxie,16,BlueHeelermix
Sun Jul 21 18:06:48 EDT 2019,Dog,Howard,Howie,10,JackRussellTerrier
Sun Jul 21 18:06:57 EDT 2019,Cat,Samantha Bee,Sam,3,Tuxedo cat
Sun Jul 21 18:07:04 EDT 2019,Dog,Ella Fitzgerald,Ella,12,Heinz57
Sun Jul 21 18:07:05 EDT 2019,Cat,Chanel,Teeny,6.5,Unknown
Sun Jul 21 18:07:05 EDT 2019,Fish,Commander Ambrose,The Commander,0.833333333,BettaFish
Sun Jul 21 18:07:14 EDT 2019,Dog,Josephine Bakes,Josie,5,Labradormix
Sun Jul 21 18:07:19 EDT 2019,Dog,Lennie,Lennie,2,TreeingTennesseeBrindle
Sun Jul 21 18:07:30 EDT 2019,Cat,Obsidian Jazz Paws,OJP,1,Feral
Sun Jul 21 18:07:31 EDT 2019,Cat,Scotty ,Scotty ,8,Domesticshorthair
Sun Jul 21 18:07:38 EDT 2019,Cat,Macallan,Mac,8,Unknown
Sun Jul 21 18:07:39 EDT 2019,Dog,Cody James,Buddy,1.5,GoldenRetriever
Sun Jul 21 18:07:43 EDT 2019,Dog,Jake,Jake,2,GoldenRetrievermix
Sun Jul 21 18:07:46 EDT 2019,Cat,Katie ,Boo,9,Tuxedomoggy
Sun Jul 21 18:07:53 EDT 2019,Others,damn,it,2,Skylake
Sun Jul 21 18:08:03 EDT 2019,Dog,Gail,Gail,3,TreeingTennesseeBrindle
Sun Jul 21 18:08:13 EDT 2019,Rodent,Bella,Bella,2,Russian Dwarf Hamster
Sun Jul 21 18:08:18 EDT 2019,Cat,June Bug,June Bug,5,Unknown
Sun Jul 21 18:08:28 EDT 2019,Dog,Lucky,"Luck, Luckboy, Luck duck",3,JackRussellmix
Sun Jul 21 18:08:33 EDT 2019,Dog,Darcy,Darcy,3,Workingcockerspaniel
Sun Jul 21 18:08:37 EDT 2019,Cat,Neko,"Neko, Cat, Kitten",6,Domesticshorthair
Sun Jul 21 18:08:47 EDT 2019,Cat,Maisy,Maisy,7,Unknown
Sun Jul 21 18:08:50 EDT 2019,Dog,Luke Anakin,Luke,9,GoldenRetriever
Sun Jul 21 18:08:51 EDT 2019,Dog,Sadie,Sadie Pot Pie,10,Mixed Breeds
Sun Jul 21 18:09:01 EDT 2019,Dog,Hazel Nut,Hazel,3,AustralianShepherd
Sun Jul 21 18:09:05 EDT 2019,Cat,Mongoose,Goosey,1.916666667,Unknown
Sun Jul 21 18:09:08 EDT 2019,Cat,Flerf,Bab,16,Tortie
Sun Jul 21 18:09:11 EDT 2019,Dog,Bourbon,Bourbon,3,Mixed Breeds
Sun Jul 21 18:09:18 EDT 2019,Dog,Riley,Smiley Riley,13,GoldenRetriever
Sun Jul 21 18:09:19 EDT 2019,Cat,Murphy,Murph,13,Domesticshorthair
Sun Jul 21 18:09:21 EDT 2019,Dog,Mr. Nubs,Mr. Nubs,16,Corgi
Sun Jul 21 18:09:27 EDT 2019,Cat,Mackerel,Mack,1.916666667,Unknown
Sun Jul 21 18:09:27 EDT 2019,Cat,Regis,"Regis (or ""little asshole"")",0,Unknown
Sun Jul 21 18:09:34 EDT 2019,Cat,Laetynne Marah,Lae lae,7,Siamese
Sun Jul 21 18:09:37 EDT 2019,Cat,Callie,Callie,15,Domesticshorthair(calico)
Sun Jul 21 18:09:41 EDT 2019,Dog,Bentley,Bentley boy,3,Australianlabradoodle
Sun Jul 21 18:09:42 EDT 2019,Cat,Crumb Bun,Bobo,9,Tuxedogarbagecat
Sun Jul 21 18:09:46 EDT 2019,Dog,Fenway,Fenway,6,BostonTerrier
Sun Jul 21 18:09:46 EDT 2019,Dog,Benelli ,Name,3,BlackLabMix
Sun Jul 21 18:09:49 EDT 2019,Turtle,Lenny,Lenny,12,Unknown
Sun Jul 21 18:09:51 EDT 2019,Dog,Washington the Destroyer,Wash,6.5,ChocolateLabrador
Sun Jul 21 18:09:51 EDT 2019,Cat,Otto,Otto,16,Unknown
Sun Jul 21 18:09:52 EDT 2019,Dog,Philomenos,"Philo, Phil, phi phi",9,PortugueseWaterDog
Sun Jul 21 18:09:58 EDT 2019,Dog,Stampy Wiggles ,Stampy,10,Goldendoodle
