Year,Percentage,Ethinicity
2004,7,Asian
2005,6,Asian
2006,5,Asian
2007,5,Asian
2008,6,Asian
2009,11.5,Asian
2010,11.5,Asian
2011,11,Asian
2012,9,Asian
2013,7.5,Asian
2014,7,Asian
2004,13,Black
2005,13,Black
2006,11,Black
2007,10.5,Black
2008,13,Black
2009,17,Black
2010,19,Black
2011,18.5,Black
2012,17,Black
2013,16,Black
2014,14,Black
2004,10,Hispanic
2005,9,Hispanic
2006,8,Hispanic
2007,9,Hispanic
2008,11,Hispanic
2009,17,Hispanic
2010,17,Hispanic
2011,16,Hispanic
2012,14.5,Hispanic
2013,13,Hispanic
2014,11,Hispanic
2004,7,White
2005,6,White
2006,5.5,White
2007,5.5,White
2008,7,White
2009,11,White
2010,11,White
2011,10,White
2012,9,White
2013,8.5,White
2014,7,White
