"Date","cases","Percentage"
2020-01-21,1,8.61370361481411e-10
2020-01-22,1,8.61370361481411e-10
2020-01-23,1,8.61370361481411e-10
2020-01-24,2,1.72274072296282e-09
2020-01-25,3,2.58411108444423e-09
2020-01-26,5,4.30685180740705e-09
2020-01-27,5,4.30685180740705e-09
2020-01-28,5,4.30685180740705e-09
2020-01-29,5,4.30685180740705e-09
2020-01-30,6,5.16822216888847e-09
2020-01-31,7,6.02959253036988e-09
2020-02-01,8,6.89096289185129e-09
2020-02-02,11,9.47507397629552e-09
2020-02-03,11,9.47507397629552e-09
2020-02-04,11,9.47507397629552e-09
2020-02-05,12,1.03364443377769e-08
2020-02-06,12,1.03364443377769e-08
2020-02-07,12,1.03364443377769e-08
2020-02-08,12,1.03364443377769e-08
2020-02-09,12,1.03364443377769e-08
2020-02-10,13,1.11978146992583e-08
2020-02-11,13,1.11978146992583e-08
2020-02-12,14,1.20591850607398e-08
2020-02-13,15,1.29205554222212e-08
2020-02-14,15,1.29205554222212e-08
2020-02-15,15,1.29205554222212e-08
2020-02-16,15,1.29205554222212e-08
2020-02-17,25,2.15342590370353e-08
2020-02-18,25,2.15342590370353e-08
2020-02-19,25,2.15342590370353e-08
2020-02-20,27,2.32569997599981e-08
2020-02-21,30,2.58411108444423e-08
2020-02-22,30,2.58411108444423e-08
2020-02-23,30,2.58411108444423e-08
2020-02-24,43,3.70389255437007e-08
2020-02-25,45,3.87616662666635e-08
2020-02-26,60,5.16822216888847e-08
2020-02-27,60,5.16822216888847e-08
2020-02-28,65,5.59890734962917e-08
2020-02-29,70,6.02959253036988e-08
2020-03-01,88,7.58005918103642e-08
2020-03-02,104,8.95825175940668e-08
2020-03-03,125,1.07671295185176e-07
2020-03-04,161,1.38680628198507e-07
2020-03-05,228,1.96392442417762e-07
2020-03-06,311,2.67886182420719e-07
2020-03-07,428,3.68666514714044e-07
2020-03-08,547,4.71169587730332e-07
2020-03-09,748,6.44305030388096e-07
2020-03-10,1018,8.76875027988076e-07
2020-03-11,1263,1.08791076655102e-06
2020-03-12,1668,1.43676576295099e-06
2020-03-13,2224,1.91568768393466e-06
2020-03-14,2898,2.49625130757313e-06
2020-03-15,3600,3.10093330133308e-06
2020-03-16,4507,3.88219621919672e-06
2020-03-17,5906,5.08725335490921e-06
2020-03-18,8350,7.19244251836978e-06
2020-03-19,12393,1.06749628898391e-05
2020-03-20,18012,1.55150029510032e-05
2020-03-21,24528,2.1127692226416e-05
2020-03-22,33073,2.84881019652747e-05
2020-03-23,43505,3.74739175762488e-05
2020-03-24,53938,4.64605945575844e-05
2020-03-25,68572,5.90658884275033e-05
2020-03-26,85570,7.37074618319643e-05
2020-03-27,102900,8.86350101964372e-05
2020-03-28,123966,0.000106780638231405
2020-03-29,142486,0.00012273321732604
