Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,25025.310547,26241.419922,24883.039063,25916.000000,25916.000000,5434540000
2019-03-01,26019.669922,26155.980469,25208.000000,25928.679688,25928.679688,6734060000
2019-04-01,26075.099609,26695.960938,26062.589844,26592.910156,26592.910156,5854600000
2019-05-01,26639.060547,26689.390625,24809.509766,24815.039063,24815.039063,6358230000
2019-06-01,24830.160156,26907.369141,24680.570313,26599.960938,26599.960938,5544390000
2019-07-01,26805.859375,27398.679688,26616.210938,26864.269531,26864.269531,5207470000
2019-08-01,26879.859375,27175.589844,25339.599609,26403.279297,26403.279297,8170730000
2019-09-01,26198.259766,27306.730469,25978.220703,26916.830078,26916.830078,5045520000
2019-10-01,26962.539063,27204.359375,25743.460938,27046.230469,27046.230469,5660960000
2019-11-01,27142.949219,28174.970703,27142.949219,28051.410156,28051.410156,4925180000
2019-12-01,28109.740234,28701.660156,27325.130859,28538.439453,28538.439453,5086880000
2020-01-01,28638.970703,29373.619141,28169.529297,28256.029297,28256.029297,6170770000
2020-02-01,28319.650391,29568.570313,24681.009766,25409.359375,25409.359375,6991990000
2020-03-01,25590.509766,27102.339844,18213.650391,21917.160156,21917.160156,15521140000
2020-04-01,21227.380859,24764.769531,20735.019531,24345.720703,24345.720703,9805160000
2020-05-01,24120.779297,25758.789063,22789.619141,25383.109375,25383.109375,7940630000
2020-06-01,25342.990234,27580.210938,24843.179688,25812.880859,25812.880859,9710480000
2020-07-01,25879.380859,27071.330078,25523.509766,26428.320313,26428.320313,8210370000
2020-08-01,26542.320313,28733.349609,26534.380859,28430.050781,28430.050781,7452360000
2020-09-01,28439.609375,29199.349609,26537.009766,27781.699219,27781.699219,9973920000
2020-10-01,27940.630859,28957.900391,26143.769531,26501.599609,26501.599609,8439930000
2020-11-01,26691.279297,30116.509766,26691.279297,29910.369141,29910.369141,7321030000
2020-11-27,29911.330078,30015.130859,29819.980469,29910.369141,29910.369141,178100533
