Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,49.630001,52.220001,49.540001,49.580002,47.937782,128870700
2019-03-01,49.369999,52.080002,48.220001,51.650002,50.288242,166809100
2019-04-01,51.820000,58.990002,51.520000,58.290001,56.753170,148507900
2019-05-01,58.200001,58.509998,51.310001,51.500000,50.142193,87101100
2019-06-01,51.480000,57.419998,51.410000,56.750000,55.587547,100204800
2019-07-01,57.299999,63.439999,57.250000,61.040001,59.789673,145656200
2019-08-01,61.310001,61.770000,55.570000,57.860001,57.039162,112141700
2019-09-01,57.439999,60.580002,56.650002,57.599998,56.782845,106340200
2019-10-01,58.049999,58.680000,51.070000,53.790001,53.026901,182310000
2019-11-01,55.549999,58.430000,55.119999,57.310001,56.916679,105598500
2019-12-01,57.250000,59.919998,54.540001,58.480000,58.078648,100565600
2020-01-01,58.930000,62.480000,55.430000,55.740002,55.357456,173131800
2020-02-01,56.200001,60.029999,45.029999,46.130001,45.813408,165233200
2020-03-01,46.220001,49.970001,19.100000,28.530001,28.530001,823679400
2020-04-01,26.590000,27.600000,20.760000,25.910000,25.910000,1351937000
2020-05-01,24.950001,27.850000,17.510000,25.209999,25.209999,1172320500
2020-06-01,25.330000,37.240002,25.080000,28.049999,28.049999,1332811600
2020-07-01,29.020000,29.850000,24.430000,24.969999,24.969999,571254600
2020-08-01,24.850000,32.209999,24.379999,30.850000,30.850000,465711400
2020-09-01,30.020000,35.070000,27.920000,30.580000,30.580000,464801100
2020-10-01,30.990000,34.040001,28.740000,30.639999,30.639999,365087800
2020-11-01,30.620001,42.189999,29.670000,41.060001,41.060001,369499800
2020-11-27,41.790001,42.189999,40.775002,41.060001,41.060001,10516621
