"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","488.07","479.85","518.70","463.57","3.60M","2.59%"
"Oct 20","475.74","506.03","572.49","472.21","154.32M","-4.86%"
"Sep 20","500.03","532.60","557.39","458.60","118.82M","-5.58%"
"Aug 20","529.56","490.86","549.04","466.55","116.27M","8.32%"
"Jul 20","488.88","454.00","575.37","454.00","232.23M","7.44%"
"Jun 20","455.04","418.83","474.01","404.25","117.29M","8.41%"
"May 20","419.73","415.10","458.97","397.86","135.10M","-0.03%"
"Apr 20","419.85","376.05","449.52","357.51","225.16M","11.81%"
"Mar 20","375.50","373.11","393.52","290.25","202.01M","1.75%"
"Feb 20","369.03","347.24","392.95","346.28","114.11M","6.94%"
"Jan 20","345.09","326.10","359.85","321.20","169.80M","6.65%"
"Dec 19","323.57","314.39","338.00","292.02","125.11M","2.83%"
"Nov 19","314.66","288.70","316.82","281.14","113.77M","9.48%"
"Oct 19","287.41","267.35","308.75","257.01","235.29M","7.39%"
"Sep 19","267.62","290.82","301.55","252.28","176.23M","-8.90%"
"Aug 19","293.75","324.25","328.58","287.20","137.40M","-9.05%"
"Jul 19","322.99","373.50","384.76","305.81","196.69M","-12.07%"
"Jun 19","367.32","343.56","375.00","332.65","111.05M","7.00%"
"May 19","343.28","374.00","385.99","341.39","125.30M","-7.36%"
"Apr 19","370.54","359.00","384.80","342.27","165.09M","3.92%"
"Mar 19","356.56","362.26","379.00","342.47","144.84M","-0.43%"
"Feb 19","358.10","337.18","371.49","336.50","148.19M","5.48%"
"Jan 19","339.50","259.28","358.85","256.58","306.63M","26.84%"
