"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","151.22","140.45","153.39","139.06","4.61M","8.99%"
"Oct 20","138.75","139.91","146.60","137.37","6.20M","-0.83%"
"Sep 20","139.91","138.85","151.08","134.75","11.58M","0.76%"
"Aug 20","138.85","129.40","141.06","128.29","14.88M","7.30%"
"Jul 20","129.40","119.78","134.12","118.23","7.21M","8.03%"
"Jun 20","119.78","123.71","124.39","117.04","6.82M","-3.45%"
"May 20","124.06","121.55","131.89","120.79","9.77M","2.06%"
"Apr 20","121.55","113.62","133.38","111.80","13.50M","6.98%"
"Mar 20","113.62","107.68","128.01","102.99","8.76M","5.52%"
"Feb 20","107.68","114.90","119.95","104.37","132.47M","-5.95%"
"Jan 20","114.49","118.86","119.89","112.68","127.84M","-3.66%"
"Dec 19","118.84","119.15","122.12","117.42","98.64M","-0.21%"
"Nov 19","119.09","117.92","125.38","117.08","117.00M","1.56%"
"Oct 19","117.26","118.85","120.71","114.58","98.99M","-1.20%"
"Sep 19","118.68","113.68","119.86","113.49","108.09M","3.87%"
"Aug 19","114.26","110.32","115.38","104.84","157.93M","3.52%"
"Jul 19","110.38","111.30","115.49","109.63","91.30M","-0.10%"
"Jun 19","110.49","101.63","112.22","101.40","121.53M","8.92%"
"May 19","101.44","102.77","103.96","98.85","155.77M","-1.36%"
"Apr 19","102.84","97.97","104.14","96.79","110.61M","5.44%"
"Mar 19","97.53","99.47","100.49","96.53","141.15M","-1.47%"
"Feb 19","98.99","95.92","104.18","93.11","166.80M","3.30%"
"Jan 19","95.83","91.64","99.35","91.64","160.74M","2.88%"
