Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
Jan-19,4,3.7,3.6,12.9,3.5,6.8,3.1,4.8
Feb-19,3.8,3.5,3.4,13.3,3.3,6.9,3.1,4.3
Mar-19,3.8,3.6,3.3,12.7,3.4,6.6,3.1,4.7
Apr-19,3.6,3.4,3.1,12.9,3.1,6.6,2.2,4.2
May-19,3.6,3.4,3.3,12.6,3.3,6.2,2.5,4.2
Jun-19,3.7,3.3,3.3,12.7,3.3,6,2.1,4.3
Jul-19,3.7,3.3,3.3,12.7,3.3,5.9,2.8,4.5
Aug-19,3.7,3.3,3.3,12.5,3.4,5.4,2.8,4.2
Sep-19,3.5,3.2,3.1,12.5,3.2,5.5,2.5,3.9
Oct-19,3.6,3.2,3.2,12.3,3.2,5.5,2.8,4.1
Nov-19,3.5,3.2,3.2,12,3.2,5.6,2.6,4.2
Dec-19,3.5,3.1,3.2,12.6,3.2,5.9,2.5,4.2
Jan-20,3.6,3.3,3.2,12.2,3.1,6,3,4.3
Feb-20,3.5,3.3,3.1,11,3.1,5.8,2.5,4.4
Mar-20,4.4,4,4,14.3,4,6.7,4.1,6
Apr-20,14.7,13,15.5,31.9,14.2,16.7,14.5,18.9
May-20,13.3,11.6,13.9,29.9,12.4,16.8,15,17.6
Jun-20,11.1,10.2,11.2,23.2,10.1,15.4,13.8,14.5
Jul-20,10.2,9.4,10.5,19.3,9.2,14.6,12,12.9
Aug-20,8.4,8,8.4,16.1,7.3,13,10.7,10.5
Sep-20,7.9,7.4,7.7,15.9,7,12.1,8.9,10.3
Oct-20,6.9,6.7,6.5,13.9,6,10.8,7.6,8.8
Nov-20,6.7,6.7,6.1,14,5.9,10.3,6.7,8.4
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
