Date,COVID,CrudeOil,DeltaAirlines,Gold,Netflix,SP500,Walmart,Zoom,UnEmpRate,Gas/Galon,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2019,0,55.47,57.25,1470.3,314.66,3143.85,119.09,74.5,3.5,2.22,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2019,0,61.6,58.93,1521,323.57,3244.67,118.84,68.04,3.5,2.56,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,41,51.01,56.2,1597.8,345.09,3235.66,114.49,76.3,3.6,2.33,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2020,736,43.72,46.22,1583.9,369.03,2974.28,107.68,105,3.5,2.65,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2020,1095533,20.1,26.59,1570,375.5,2498.08,113.62,146.12,4.4,2.22,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2020,19611702,19.04,24.95,1686.6,419.85,2869.09,121.55,135.17,14.7,2.02,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2020,45452104,35.21,25.33,1740.4,419.73,3038.78,124.06,179.48,13.3,1.91,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2020,65288844,39.84,29.02,1793.6,455.04,3105.92,119.78,253.54,11.1,1.79,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2020,111625970,40.39,24.85,1997.4,488.88,3288.26,129.4,253.91,10.2,1.74,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2020,166758784,42.83,30.02,1961.7,529.56,3507.44,138.85,325.1,8.4,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2020,199758742,39.9,30.99,1884.1,500.03,3385.87,139.91,470.11,7.9,1.63,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2020,252793167,35.24,30.62,1872.9,475.74,3296.2,138.75,460.91,6.9,1.77,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020,298555181,45.9,41.79,1812.1,488.07,3638.55,151.22,465.68,6.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
