"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","465.68","460.91","505.55","366.54","8.76M","1.03%"
"Oct 20","460.91","470.11","588.84","457.02","8.72M","-1.96%"
"Sep 20","470.11","325.10","529.72","325.10","8.94M","44.60%"
"Aug 20","325.10","253.91","325.90","230.01","18.84M","28.04%"
"Jul 20","253.91","253.54","280.95","237.34","3.38M","0.15%"
"Jun 20","253.54","183.36","261.61","183.23","6.29M","41.26%"
"May 20","179.48","135.17","179.99","132.67","15.31M","32.78%"
"Apr 20","135.17","146.12","181.50","108.53","16.68M","-7.49%"
"Mar 20","146.12","105.00","164.94","100.93","10.02M","39.16%"
"Feb 20","105.00","77.69","121.93","77.51","143.98M","37.61%"
"Jan 20","76.30","68.80","78.79","65.81","47.81M","12.14%"
"Dec 19","68.04","74.06","74.50","62.02","60.22M","-8.67%"
"Nov 19","74.50","69.86","75.84","65.36","35.10M","6.60%"
"Oct 19","69.89","76.43","78.49","60.97","75.35M","-8.28%"
"Sep 19","76.20","91.50","96.50","74.29","49.97M","-16.88%"
"Aug 19","91.67","95.75","98.66","87.29","23.51M","-4.02%"
"Jul 19","95.51","85.13","104.49","83.10","51.72M","7.57%"
"Jun 19","88.79","80.00","107.34","75.65","65.09M","11.36%"
"May 19","79.73","72.72","91.46","69.69","53.27M","10.02%"
